"","cta_name","program_name","program_id","minDate"
"35","Hyman Beck & Company, Inc.","Global Portfolio *QEP*",18649,"1991-04-30"
"36","Insch Capital Management SA","INSCH ICP No Leverage *QEP**FX*",39209,"2000-01-31"
"37","Insch Capital Management SA","INSCH ICP x3 Net *FRN**FX*",38634,"2000-01-31"
"38","ISAM - International Standard Asset Management","Systematic Program",44500,"2001-06-30"
"39","John Locke Investments","Cyril Systematic Program *PROP* *QEP*",34489,"2000-07-31"
"40","Keck Capital Management, LLC","Keck Program *QEP*",32538,"2003-12-31"
"41","Kelly Angle Inc.","Genesis Program *QEP*",32537,"2000-04-30"
"42","Kinkopf Capital Management, LLC","Kinkopf S&P Program  *PROP*",30327,"1999-01-31"
"43","Mark J. Walsh & Company","Standard Program",18683,"1990-01-31"
"44","Michael J. Frischmeyer, CTA","Michael J. Frischmeyer, CTA *CLSD*",18702,"1990-01-31"
"45","Millburn Corporation","Diversified Program",18659,"1990-01-31"
"46","Millburn Corporation","Millburn Multi-Markets Program",38631,"2004-10-31"
"47","Mount Lucas Management LP","MLM Index - Unleveraged  *QEP*",19038,"1996-07-31"
"48","Mount Lucas Management LP","MLM Index - Enhanced  *QEP*",19039,"1998-02-28"
"49","Mulvaney Capital Management Ltd","Global Diversified Program  *QEP*",20023,"1999-05-31"
"50","Omni Trading, LLC","S&P 500 Option Overwriting Program",83514,"2004-01-31"
"51","Parizek Capital Inc.","Parizek Capital Futures Program",31886,"2000-04-30"
"52","Paskewitz Asset Management, LLC","Contrarian 3X Stock Index Program",32812,"2003-12-31"
"53","Quality Capital Management Ltd","Global Diversified Programme *QEP*",19203,"1995-12-31"
"54","Quantitative Investment Management, LLC","Global Program *QEP*",20167,"2003-10-31"
"55","Quantmetrics Capital Management, LLP","QM Premier (12V) Strategy *QEP*",86118,"2003-04-30"
"56","Quest Partners LLC","AlphaQuest Original Program (AQO) *QEP*",19636,"1999-05-31"
"57","Rabar Market Research, Inc.","Diversified Program *QEP*",18665,"1990-01-31"
"58","RAM Management Group, Ltd","RAM Aggressive",18850,"1998-02-28"
"59","RAM Management Group, Ltd","RAM Conservative",18666,"1993-09-30"
"60","Red Oak Commodity Advisors, Inc.","Fundamental Trading Program *QEP*",18668,"1990-01-31"
"61","Red Rock Capital, LLC","Systematic Global Macro Program",27200,"2003-09-30"
"62","Rhicon Currency Management (Pte) Ltd.","Rhicon Strategic Currency Program *FRN*",25303,"2004-01-31"
"63","Saxon Investment Corporation","Diversified Program *QEP*",18670,"1990-01-31"
"64","Saxon Investment Corporation","Aggressive Diversified Program *QEP*",18669,"1993-11-30"
"65","Silicon Valley Quantitative Advisors (SV Quant)","US Quantitative Portfolio (UQP) *QEP*",74155,"1999-11-30"
"66","SMN Investment Services GmbH","Diversified Futures *FRN*",20060,"1996-11-30"
"67","Southwest Managed Investments, LLC","Global Diversified Program",44815,"2002-01-31"
"68","Systematic Alpha Management LLC","Systematic Alpha Futures Program *QEP*",31313,"2004-06-30"
"69","Tactical Investment Management Corp.","Institutional Commodity Program *QEP*",19007,"1993-04-30"
"70","The Cambridge Strategy Asset Management Ltd.","Extended Markets Currency Alpha (Program) *FX* *QEP*",83377,"2004-04-30"
"71","Transtrend B.V.","Diversified Trend Program - Enhanced Risk USD",18883,"1995-01-31"
"72","Trigon Investment Advisors, LLC","Trigon Macro Program *QEP*",37216,"2001-01-31"
"73","Trigon Investment Advisors, LLC","Trigon FX Program *QEP*",83588,"2000-08-31"
"74","Warrington Asset Management Corp.","Strategic Fund",87414,"1997-01-31"
"75","Welton Investment Partners LLC","Global Directional Portfolio",30610,"2004-06-30"
"76","Winton Capital Management Ltd","Diversified Trading Program",18699,"1997-10-31"
